word,frequency,year,term,source_pdf,total_tokens,relative_freq
one,30,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.008375209380234505
people,30,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.008375209380234505
world,20,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.005583472920156337
diet,17,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.004745951982132886
year,17,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.004745951982132886
scientist,16,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.00446677833612507
flood,15,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0041876046901172526
telegraph,15,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0041876046901172526
food,14,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.003908431044109436
work,14,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.003908431044109436
also,13,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0036292573981016193
long,13,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0036292573981016193
make,13,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0036292573981016193
europe,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
life,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
many,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
need,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
passage,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
plant,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
red,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
since,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
water,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0033500837520938024
although,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
body,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
central,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
change,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
different,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
first,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
lady,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
new,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
system,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0030709101060859855
buddha,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
climate,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
day,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
effect,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
human,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
technology,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
time,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
way,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.0027917364600781687
german,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002512562814070352
good,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002512562814070352
know,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002512562814070352
may,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002512562814070352
percent,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002512562814070352
planet,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002512562814070352
thought,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002512562814070352
abraham,8,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002233389168062535
could,8,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002233389168062535
development,8,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf,3582,0.002233389168062535
